등록(신고)일자,상호,영업소소재지(도로명),Latitude,Longitude,법정동,업종명,제공게임물(제작품목),게임기수,영업상태
2016. 7. 28,홍대 뽀바뽀바 게임,서울특별시 마포구 와우산로17길 19-5,37.5499182,126.9218476,서교동,청소년게임제공업,토이즈팝 외 3종(총13개),13,영업중
2016. 8. 1,홍대겜팍,서울특별시 마포구 와우산로 80,37.5515936,126.9235709,서교동,청소년게임제공업,철권6BR 외 13종(총18대),18,영업중
2016. 9. 22,꽃보다 인형,서울특별시 마포구 홍익로3길 44,37.5525739,126.9213963,서교동,청소년게임제공업,뉴 미주 크레인(18개) 외 4종 (총27개),27,영업중
2016. 10. 19,인형나라,서울특별시 마포구 와우산로 69,37.5505336,126.9228381,서교동,청소년게임제공업,Toys Pop(토이즈팝),9,영업중
2016. 10. 20,뽑기ZONE,서울특별시 마포구 독막로 70,37.5476183,126.921204,상수동,청소년게임제공업,코코짱(COCO ZZANG)외 1종(총6대),6,영업중
2016. 10. 31,홍대 뽀바뽀바 게임 2호점,서울특별시 마포구 잔다리로6길 28,37.5521387,126.9206092,서교동,청소년게임제공업,Toys Pop(토이즈팝),11,영업중
2016. 11. 22,재미삼아,서울특별시 마포구 와우산로19길 18,37.5513687,126.9220316,서교동,청소년게임제공업,뽀끼뽀끼2 외 1종 (총10대),10,영업중
2016. 11. 28,아이돌뽑기팡,서울특별시 마포구 와우산로19길 26,37.5513542,126.9217274,서교동,청소년게임제공업,곰탱이 외 1종(총 15대),15,영업중
2016. 12. 7,토이랜드,서울특별시 마포구 잔다리로 40,37.5519122,126.9192884,서교동,청소년게임제공업,캣치랜드스타 총 7대,7,영업중
2016. 12. 14,짱뽑기방,서울특별시 마포구 독막로 71,37.5479312,126.9213365,상수동,청소년게임제공업,코코짱(COCO ZZANG)외 2종(총9대),9,영업중
2016. 12. 23,핫토이,서울특별시 마포구 와우산로 51,37.5490505,126.9228345,상수동,청소년게임제공업,퍼니랜드 외 1종(총13대),13,영업중
2016. 12. 28,사격의 명수,서울특별시 마포구 어울마당로 50-1,37.5493721,126.9211459,서교동,청소년게임제공업,럭셔리 자이언트 캐쳐 외 2종(총32대),32,영업중
2017. 1. 5,인형아 잘가,서울특별시 마포구 동교로 250,37.5622109,126.924507,연남동,청소년게임제공업,뽀끼보끼2 외 1종 (총10대),10,영업중
2017. 1. 6,인형뽀개기 홍대점,서울특별시 마포구 와우산로 150,37.5542617,126.9298296,창전동,청소년게임제공업,스마일토이 외 2종(총11대),11,영업중
2017. 1. 6,연남동 놀이터 손맛,서울특별시 마포구 연희로 35,37.5619063,126.9269777,연남동,청소년게임제공업,마트크레인 외 1종(총10대),10,영업중
2017. 1. 10,인형뽑기 놀이터,서울 마포구 상수동 310-1,37.5478828,126.922737,상수동,청소년게임제공업,,-,영업중